#,Timestamp,Hostname,CLD,VAD,LSD,SDI,SPD,ELD,lch_size,zlib_size,zlib_time,lzma_size,lzma_time,bz2_size,bz2_time,gzip_size,gzip_time,cfe_size,commits
0,1679932828,centos,19817,684813,263,10609,34,77574,35805,7296,0.0011069800002587,6792,0.0627683189995877,7454,0.00442947800002,7314,0.0010420589987916,92924,4
0,1679932828,debian,19611,501384,263,11296,34,79433,44613,7951,0.0013635149989568,7352,0.1190688999995472,8005,0.0051963449986942,7969,0.0012166010001237,99599,4
0,1679932828,ubuntu,21205,1303191,263,20931,34,78837,51671,8091,0.0014370319986483,7484,0.0646001969998906,7837,0.0060417749991756,8109,0.0013588620004156,97003,4
0,1679933728,hub,21390,1317260,1125,20935,34,187818,33992,7197,0.0010829250004462,6692,0.0600565519998781,7437,0.0041232619987567,7215,0.0009514120010862,131565,6
1,1679933728,centos,19544,684384,263,10609,34,77267,36498,6988,0.0011541469993971,6488,0.0610608589995536,7066,0.0044767479994334,7006,0.0010195009999733,130693,3
1,1679933728,debian,19786,496315,263,11296,34,79634,37464,6985,0.0012192769991088,6524,0.0611946249991888,7097,0.0044656800000666,7003,0.0010602040001685,142773,2
0,1679933728,rhel,17983,690296,262,14920,34,117122,40,40,0.0001547170013509,88,0.0507611600005475,63,8.043299931159709e-05,58,0.0001228119999723,23,7
1,1679933728,ubuntu,20737,1289229,263,20931,34,78613,41646,7284,0.001236163001522,6740,0.0620022959992638,7210,0.0048745650001364,7302,0.0010788710005726,130020,3
1,1679934628,hub,21499,1323022,1125,20935,34,187565,40286,7418,0.0012291299990465,6916,0.0621137939997424,7504,0.0047679269991931,7436,0.0010820520001288,127711,3
2,1679934628,centos,19545,684025,263,10609,34,77217,33365,6725,0.0011123189997306,6268,0.0607466070014197,6825,0.0040736419996392,6743,0.0009201930006383,124245,3
2,1679934628,debian,19637,496816,263,11296,34,79301,36709,7314,0.0011879850007971,6780,0.0610243159990204,7423,0.0044520219998958,7332,0.0010700860002543,149844,3
1,1679934628,rhel,17983,690296,262,14920,34,117122,40,39,8.727399836061522e-05,88,0.0509845380001934,63,8.197399984055664e-05,57,0.0001057699992088,23,3
2,1679934628,ubuntu,20834,1296155,263,20931,34,78818,38776,6774,0.0011876540011144,6340,0.0621991150001122,6886,0.004734924999866,6792,0.0010210440013906,133062,3
